time,G000,G001,G002,G003,G004,G005,G006,G007,G008,G009
3652.5-3683.5,0.141266675,-0.190710566,-1.411908183,-0.494607433,0.120880198,0.172560253,-0.287050775,-0.522702735,-0.233920492,-0.412964384
3652.5-3712.5,0.637021819,0.106349238,-2.888741305,-1.084266246,0.660378691,1.053773073,-0.269812741,-0.874939372,-0.190036212,-0.616620314
3652.5-3743.5,1.413199383,0.515242007,-2.931686034,-1.095675086,1.195487314,2.384595824,0.190950117,-0.741531998,-0.007847713,-0.486997608
3652.5-3773.5,2.035429173,1.102922328,-2.66754525,-0.829717166,1.517536772,3.702779586,0.720135736,-0.413918048,0.102102509,-0.269749685
3652.5-3804.5,2.38981116,1.13695482,-2.702537849,-1.037418787,1.484812841,4.613482727,0.707590572,-0.515153644,-0.074309718,-0.483742829
3652.5-3834.5,1.913651133,0.5927429,-3.324434212,-1.863849374,1.328470647,4.774494477,0.142468024,-1.228155244,-0.559791211,-1.039994628
3652.5-3865.5,0.618601996,-0.675287102,-4.522710679,-3.387431395,0.773590377,4.142752415,-1.464864344,-2.747869437,-1.844816273,-2.139634946
3652.5-3896.5,-1.137816226,-2.340071993,-6.285176967,-5.525666625,0.069396888,2.508821903,-3.573083903,-4.98479509,-3.245491487,-3.42027805
3652.5-3926.5,-3.228384164,-4.337248979,-8.4360497,-7.642339215,-0.788250899,0.394446171,-6.075869359,-7.534276942,-4.689558457,-4.692080931
3652.5-3957.5,-5.215741278,-6.347700457,-10.80386132,-9.74689234,-1.227337464,-1.65191086,-8.632615737,-9.920764435,-5.976605415,-5.818794366
3652.5-3987.5,-6.865259535,-7.930025426,-12.65253598,-11.66857001,-1.463479825,-3.959521105,-16.56327247,-14.69556535,-6.717514889,-6.549656219
3652.5-4018.5,-7.814376422,-8.918389626,-13.63143733,-12.97702654,-1.317061324,-5.873011737,-20.25486096,-17.62958218,-6.771442776,-6.668067229
3652.5-4049.5,-7.995463997,-8.952244271,-13.8631711,-13.38490352,-0.912199697,-7.03704589,-21.94400992,-19.06804967,-6.510731598,-6.421580565
3652.5-4077.5,-7.357076476,-8.344218685,-13.23106699,-13.01842011,-0.476192249,-7.482637982,-22.41688173,-19.23763766,-5.926813437,-5.709919155
3652.5-4108.5,-6.176264459,-7.15336799,-11.96432015,-12.12070831,0.21390254,-7.344438149,-22.07956416,-18.83620054,-5.033683875,-5.05226373
3652.5-4138.5,-4.824689551,-5.915978547,-10.73269785,-11.23336057,0.646152192,-6.790458616,-21.64584272,-18.26925664,-4.47327495,-4.492688382
3652.5-4169.5,-4.14016922,-5.165392026,-9.952269389,-10.62863717,0.673876307,-6.782471101,-21.44801373,-18.03064735,-4.138412841,-4.360420764
3652.5-4199.5,-4.090956813,-5.173731307,-10.00766251,-10.90635416,0.42330869,-7.315338645,-22.11248166,-18.46315241,-4.614701986,-4.542784457
3652.5-4230.5,-4.942746016,-6.041580926,-10.97790837,-12.03046368,-0.117133649,-8.697498883,-23.44201007,-19.89178196,-5.421036025,-5.49461061
3652.5-4261.5,-6.621559573,-7.662564875,-12.7822864,-13.90009903,-0.928841009,-10.67217373,-25.62677528,-21.95942529,-6.600231346,-6.661226896
3652.5-4291.5,-8.708022436,-9.822529195,-14.95539752,-16.05863969,-1.628997408,-13.18580711,-28.05161858,-24.33801404,-7.993497667,-7.822797196
3652.5-4322.5,-10.91533104,-11.97506849,-17.39524393,-18.35928215,-2.085499486,-15.82120322,-30.62875097,-26.83364438,-9.196651333,-8.965932117
3652.5-4352.5,-12.5967018,-13.76569708,-19.27763412,-19.98762364,-2.35803787,-17.90613818,-32.4552944,-28.56082507,-9.909513666,-9.441408634
3652.5-4383.5,-13.3345821,-14.51496992,-19.79826924,-20.49880726,-1.995343696,-19.21872328,-33.27470241,-29.35431331,-9.73353482,-9.259010989
